sample_id,parent,alk
1617-068,3672.288829,1745.49232
1617-069,80.6761931,40.06222879
1617-107,13.44632046,12.98618787
1617-109,87.71162927,55.38668398
1617-125,4.231518662,6.603541216
1617-132,92.34078259,4.118201935
1617-182,72.1450987,8.573459637
1617-190,3.380674169,0.994153534
1617-202,5.507473769,5.996613037
1617-204,6.423283313,29.88910983
1617-206,38.97984838,53.26534092
1617-207,4.697238715,2.053324545
1617-210,6.247532139,17.42696704
1617-211,4.704768272,2.213527737
1617-213,10.49794651,9.657430536
1617-215,5.729299082,10.23498051
1617-216,5.06708973,8.392050134
1617-217,6.98966287,18.62987537
1617-218,7.584362416,9.989789102
1617-219,4.493033109,1.901314017
1617-220,30.10284434,34.9374927
1617-225,22.5118316,13.90459087
1617-226,5.649782165,3.309491543
1617-227,9.014539108,17.65084893
1617-230,8.283256219,6.911784612
1617-231,12.01741325,5.310462195
1617-P1,79.71845834,5.858148122
1617-RG01,5.482112726,12.30935568
1617-RG02,10.93802415,96.30904477
1617-RG03,13.55575663,14.61669449
1718-QCOT01,16.70929566,6.68352434
1718-QCOT02,15.24695037,5.624224855
GY01,0.053241095,5.148233624
GY02,3.670995815,4.041283904
GY03,6.889961742,12.40265698
GY05,4.980721185,12.09292451